LAT;;;;;22.2783;22.2783;22.2783;22.2783;22.2783;22.2783;22.2783;22.2783;22.2783;22.2783;22.2783
LON;;;;;114.175;114.175;114.175;114.175;114.175;114.175;114.175;114.175;114.175;114.175;114.175
ASL;;;;;60.0000;60.0000;60.0000;60.0000;60.0000;60.0000;60.0000;60.0000;60.0000;60.0000;60.0000
CITY;;;;;Hong Kong;Hong Kong;Hong Kong;Hong Kong;Hong Kong;Hong Kong;Hong Kong;Hong Kong;Hong Kong;Hong Kong;Hong Kong
DOMAIN;;;;;NEMSAS02;NEMSAS02;NEMSAS02;NEMSAS02;NEMSAS02;NEMSAS02;NEMSAS02;NEMSAS02;NEMSAS02;NEMSAS02;NEMSAS02
LEVEL;;;;;2 m above gnd;2 m above gnd;MSL;sfc;sfc;10 m above gnd;10 m above gnd;80 m above gnd;80 m above gnd;900 mb;900 mb
NAME;;;;;Temperature;Relative Humidity;Mean Sea Level Pressure;Total Precipitation (high resolution);Sunshine Duration;Wind Speed;Wind Direction;Wind Speed;Wind Direction;Wind Speed;Wind Direction
UNIT;;;;;°C;%;hPa;mm;min;km/h;°;km/h;°;km/h;°
AGGREGATION;;;;;;;;;;;;;;;
UTC_OFFSET;;;;;8;8;8;8;8;8;8;8;8;8;8

Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation (high resolution)  [sfc];Sunshine Duration  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd];Wind Speed  [80 m above gnd];Wind Direction  [80 m above gnd];Wind Speed  [900 mb];Wind Direction  [900 mb]
2019;01;21;11;00;17.07;55.00;1023.80;0.00;60.00;25.70;37.03;26.65;38.42;17.58;55.01
2019;01;21;12;00;18.32;51.00;1023.10;0.00;60.00;22.90;36.69;23.62;37.57;17.31;45.00
2019;01;21;13;00;19.53;48.00;1022.10;0.00;60.00;20.27;33.41;20.77;33.69;18.28;32.12
2019;01;21;14;00;20.59;45.00;1021.30;0.00;60.00;19.16;28.01;19.48;27.51;19.47;19.44
2019;01;21;15;00;21.13;44.00;1020.80;0.00;60.00;19.01;24.62;19.49;25.14;21.75;12.43
2019;01;21;16;00;20.90;45.00;1020.50;0.00;60.00;20.52;21.61;21.46;22.69;23.09;10.78
2019;01;21;17;00;19.93;47.00;1020.50;0.00;60.00;22.88;19.29;24.14;20.06;24.72;16.06
2019;01;21;18;00;18.16;51.00;1021.20;0.00;60.00;23.57;18.71;28.24;19.36;26.73;27.26
2019;01;21;19;00;16.85;55.00;1021.90;0.00;5.47;25.84;18.69;31.65;19.26;27.67;32.24
2019;01;21;20;00;16.82;56.00;1021.40;0.00;0.00;13.71;29.93;18.36;28.07;29.09;53.56
2019;01;21;21;00;15.98;55.00;1021.80;0.00;0.00;17.73;29.17;20.95;28.77;30.07;58.21
2019;01;21;22;00;15.27;55.00;1022.20;0.00;0.00;20.97;34.51;24.36;34.16;28.84;65.67
2019;01;21;23;00;14.67;56.00;1022.70;0.00;0.00;23.66;33.21;26.56;32.83;27.48;68.48
2019;01;22;00;00;14.30;53.00;1022.70;0.00;0.00;29.34;29.40;35.14;29.45;21.25;79.26
2019;01;22;01;00;13.74;54.00;1022.60;0.00;0.00;31.44;29.50;38.40;30.41;14.20;59.53
2019;01;22;02;00;12.44;58.00;1022.70;0.00;0.00;28.67;28.50;33.01;27.96;14.34;38.88
2019;01;22;03;00;11.61;60.00;1022.50;0.00;0.00;25.68;31.24;26.37;32.17;14.97;27.18
2019;01;22;04;00;11.05;61.00;1022.50;0.00;0.00;25.46;28.74;26.24;26.92;16.31;22.04
2019;01;22;05;00;10.40;61.00;1022.50;0.00;0.00;25.77;28.35;26.09;27.98;17.56;15.46
2019;01;22;06;00;9.95;60.00;1022.90;0.00;0.00;25.12;27.30;26.41;27.61;19.65;8.43
2019;01;22;07;00;9.50;60.00;1023.30;0.00;0.00;24.31;27.32;25.28;28.02;22.01;3.75
2019;01;22;08;00;10.66;54.00;1023.40;0.00;56.40;25.76;26.57;25.12;27.30;22.73;3.63
2019;01;22;09;00;13.05;43.00;1023.60;0.00;60.00;27.06;28.61;25.32;29.85;23.47;4.40
2019;01;22;10;00;15.13;37.00;1023.80;0.00;60.00;27.11;30.31;26.98;31.36;24.52;3.37
2019;01;22;11;00;16.73;33.00;1023.70;0.00;60.00;27.78;31.22;29.27;31.93;25.68;5.63
2019;01;22;12;00;18.29;30.00;1022.90;0.00;60.00;24.86;34.38;26.07;35.45;26.48;7.03
2019;01;22;13;00;19.37;28.00;1022.10;0.00;60.00;21.47;34.76;21.97;34.99;28.05;8.86
2019;01;22;14;00;20.12;27.00;1021.20;0.00;60.00;19.08;35.79;19.80;36.87;29.66;10.49
2019;01;22;15;00;20.46;26.00;1020.60;0.00;60.00;18.29;36.19;18.29;36.19;28.31;11.74
2019;01;22;16;00;20.35;27.00;1020.20;0.00;60.00;17.21;37.35;17.94;38.48;28.48;16.14
2019;01;22;17;00;19.69;28.00;1019.80;0.00;60.00;16.70;37.12;17.71;37.57;27.81;21.25
2019;01;22;18;00;17.93;32.00;1020.20;0.00;60.00;13.90;36.57;18.58;35.54;28.53;29.48
2019;01;22;19;00;16.23;38.00;1020.60;0.00;6.16;13.71;29.93;21.90;27.41;29.33;41.52
