Date Time,NO2,O3,SO2,CO,PM10,PM2.5,station,aqhi_instant,aqi,aqhi_official
2019-03-22 00:00:00,12.3,46.8,1.4,362.4,18.2,12.6,Tung Chung,1.0,52.0,2
2019-03-22 00:00:00,16.3,39.7,0.8,,22.0,15.2,Eastern,1.0,57.0,2
2019-03-22 00:00:00,8.7,40.3,5.3,273.5,15.4,11.7,Tap Mun,1.0,48.0,2
2019-03-22 00:00:00,30.4,27.6,3.5,,15.7,6.9,Sha Tin,2.0,29.0,2
2019-03-22 00:00:00,26.7,30.8,3.0,345.6,25.2,11.3,Yuen Long,2.0,47.0,2
2019-03-22 01:00:00,14.9,41.3,0.7,,18.3,10.6,Eastern,1.0,44.0,2
2019-03-22 01:00:00,46.9,13.3,2.1,485.8,27.4,18.6,Causeway Bay,3.0,65.0,3
2019-03-22 01:00:00,30.9,23.5,3.6,573.0,16.4,11.9,Central,2.0,50.0,2
2019-03-22 01:00:00,24.5,30.5,3.2,,9.6,2.5,Sha Tin,1.0,10.0,2
2019-03-22 01:00:00,34.6,22.5,2.2,,16.2,12.1,Tai Po,2.0,50.0,2
2019-03-22 01:00:00,20.6,35.3,5.8,,15.3,11.6,Central/Western,1.0,48.0,2
2019-03-22 01:00:00,,,,,22.1,11.2,Yuen Long,,46.0,2
2019-03-22 01:00:00,47.7,12.5,3.7,,14.8,,Kwun Tong,,,3
2019-03-22 01:00:00,,,,,16.6,9.5,Tsuen Wan,,40.0,3
2019-03-22 01:00:00,31.5,21.4,5.1,,20.2,12.0,Sham Shui Po,2.0,50.0,2
2019-03-22 01:00:00,9.1,39.8,5.4,280.7,16.7,11.3,Tap Mun,1.0,47.0,2
2019-03-22 01:00:00,,,,,16.7,11.3,Tung Chung,,47.0,2
2019-03-22 01:00:00,61.5,1.5,10.5,,26.5,16.1,Kwai Chung,4.0,59.0,3
2019-03-22 01:00:00,41.2,13.7,3.6,602.8,20.0,13.1,Tuen Mun,2.0,53.0,2
2019-03-22 01:00:00,55.7,4.1,4.1,483.6,17.2,12.1,Mong Kok,3.0,50.0,3
2019-03-22 01:00:00,37.1,20.1,6.0,669.9,16.8,10.7,Tseung Kwan O,2.0,44.0,2
2019-03-22 02:00:00,53.3,2.8,9.0,,24.5,15.1,Kwai Chung,3.0,57.0,2
2019-03-22 02:00:00,9.4,36.7,5.3,273.0,16.7,11.6,Tap Mun,1.0,48.0,2
2019-03-22 02:00:00,28.3,26.8,5.6,645.4,22.8,14.1,Tseung Kwan O,2.0,55.0,2
2019-03-22 02:00:00,27.2,24.8,4.8,319.4,10.3,,Yuen Long,,,2
2019-03-22 02:00:00,36.8,16.9,3.7,593.0,19.9,15.9,Tuen Mun,2.0,59.0,2
2019-03-22 02:00:00,16.2,40.2,2.6,,14.0,5.3,Sha Tin,1.0,22.0,2
2019-03-22 02:00:00,13.8,41.3,1.4,372.9,15.2,10.3,Tung Chung,1.0,43.0,2
2019-03-22 02:00:00,20.5,31.0,1.8,,14.6,10.5,Tai Po,1.0,44.0,2
2019-03-22 02:00:00,42.0,14.8,2.0,455.8,24.4,16.5,Causeway Bay,3.0,60.0,3
